
Active Connections

  Proto  Local Address          Foreign Address        State
  TCP    127.0.0.1:5939         DESKTOP-4HBDBJJ:49738  ESTABLISHED
  TCP    127.0.0.1:11981        DESKTOP-4HBDBJJ:56518  ESTABLISHED
  TCP    127.0.0.1:49738        DESKTOP-4HBDBJJ:5939   ESTABLISHED
  TCP    127.0.0.1:56518        DESKTOP-4HBDBJJ:11981  ESTABLISHED
  TCP    127.0.0.1:56663        DESKTOP-4HBDBJJ:56664  ESTABLISHED
  TCP    127.0.0.1:56664        DESKTOP-4HBDBJJ:56663  ESTABLISHED
  TCP    127.0.0.1:58981        DESKTOP-4HBDBJJ:58982  ESTABLISHED
  TCP    127.0.0.1:58982        DESKTOP-4HBDBJJ:58981  ESTABLISHED
  TCP    192.168.0.5:53839      46.101.20.185:http     ESTABLISHED
  TCP    192.168.0.5:53867      46.101.20.185:http     ESTABLISHED
  TCP    192.168.0.5:54041      46.101.20.185:http     ESTABLISHED
  TCP    192.168.0.5:54062      46.101.20.185:http     ESTABLISHED
  TCP    192.168.0.5:56093      lb-192-30-253-124-iad:https  ESTABLISHED
  TCP    192.168.0.5:56676      ec2-35-162-215-130:https  ESTABLISHED
  TCP    192.168.0.5:56743      sc-in-f189:https       ESTABLISHED
  TCP    192.168.0.5:57039      157.55.170.113:5671    ESTABLISHED
  TCP    192.168.0.5:57167      117.18.232.200:https   CLOSE_WAIT
  TCP    192.168.0.5:57462      151.101.52.133:https   ESTABLISHED
  TCP    192.168.0.5:57478      151.101.64.133:https   ESTABLISHED
  TCP    192.168.0.5:57479      lb-192-30-253-124-iad:https  ESTABLISHED
  TCP    192.168.0.5:57485      104.18.62.176:https    TIME_WAIT
  TCP    192.168.0.5:57588      maa05s09-in-f14:https  ESTABLISHED
  TCP    192.168.0.5:57657      151.101.193.69:https   ESTABLISHED
  TCP    192.168.0.5:57687      lb-192-30-253-124-iad:https  ESTABLISHED
  TCP    192.168.0.5:57726      lb-192-30-253-125-iad:https  ESTABLISHED
  TCP    192.168.0.5:57731      maa05s09-in-f5:https   ESTABLISHED
  TCP    192.168.0.5:57739      104.16.110.18:https    ESTABLISHED
  TCP    192.168.0.5:57740      a23-42-168-203:https   ESTABLISHED
  TCP    192.168.0.5:57743      192.0.73.2:https       ESTABLISHED
  TCP    192.168.0.5:57747      lb-192-30-253-113-iad:https  TIME_WAIT
  TCP    192.168.0.5:57752      54.240.254.246:https   TIME_WAIT
  TCP    192.168.0.5:57755      maa03s21-in-f68:https  ESTABLISHED
  TCP    192.168.0.5:57756      maa05s09-in-f3:https   ESTABLISHED
  TCP    192.168.0.5:57757      kul06s14-in-f195:https  ESTABLISHED
  TCP    192.168.0.5:57758      maa05s09-in-f1:https   ESTABLISHED
  TCP    192.168.0.5:57759      maa05s09-in-f14:https  ESTABLISHED
  TCP    192.168.0.5:57760      maa05s05-in-f2:https   ESTABLISHED
  TCP    192.168.0.5:57761      maa03s21-in-f68:https  ESTABLISHED
  TCP    192.168.0.5:57762      del03s05-in-f14:http   ESTABLISHED
  TCP    192.168.0.5:57763      maa05s09-in-f3:https   ESTABLISHED
  TCP    192.168.0.5:57764      maa03s21-in-f3:https   ESTABLISHED
  TCP    192.168.0.5:57765      del03s07-in-f14:https  ESTABLISHED
  TCP    192.168.0.5:57769      185.199.110.153:https  ESTABLISHED
  TCP    192.168.0.5:57770      maa03s31-in-f8:https   ESTABLISHED
  TCP    192.168.0.5:57771      lb-192-30-253-113-iad:https  ESTABLISHED
  TCP    192.168.0.5:57773      arn09s19-in-f3:https   ESTABLISHED
  TCP    192.168.0.5:57775      151.101.1.69:https     ESTABLISHED
  TCP    192.168.0.5:57776      maa05s05-in-f10:https  ESTABLISHED
  TCP    192.168.0.5:57780      104.16.108.18:https    ESTABLISHED
  TCP    192.168.0.5:57781      104.16.108.18:https    TIME_WAIT
  TCP    192.168.0.5:57782      del03s09-in-f2:https   ESTABLISHED
  TCP    192.168.0.5:57783      maa03s20-in-f14:https  ESTABLISHED
  TCP    192.168.0.5:57785      a23-42-168-203:https   ESTABLISHED
  TCP    192.168.0.5:57786      maa03s21-in-f74:https  ESTABLISHED
  TCP    192.168.0.5:57787      117.18.237.29:http     ESTABLISHED
  TCP    192.168.0.5:57788      sc-in-f156:https       ESTABLISHED
  TCP    192.168.0.5:57789      del03s05-in-f2:https   ESTABLISHED
  TCP    192.168.0.5:57790      server-13-33-170-41:https  ESTABLISHED
  TCP    192.168.0.5:57791      ocsp:http              TIME_WAIT
  TCP    192.168.0.5:57792      ec2-52-220-243-181:https  ESTABLISHED
  TCP    192.168.0.5:57793      server-13-33-142-27:http  ESTABLISHED
  TCP    192.168.0.5:57796      maa03s20-in-f33:https  TIME_WAIT
  TCP    192.168.0.5:57799      maa03s20-in-f33:https  ESTABLISHED
  TCP    192.168.0.5:57800      maa03s20-in-f14:http   ESTABLISHED
  TCP    192.168.0.5:57801      maa03s20-in-f14:http   ESTABLISHED
  TCP    192.168.0.5:57802      maa03s20-in-f14:http   ESTABLISHED
  TCP    192.168.0.5:57804      maa05s09-in-f5:https   ESTABLISHED
  TCP    192.168.0.5:57805      192.168.0.1:5431       TIME_WAIT
  TCP    192.168.0.5:57806      52.95.34.208:https     ESTABLISHED
  TCP    192.168.0.5:57807      54.240.254.246:https   ESTABLISHED
  TCP    192.168.0.5:57808      54.240.254.246:https   ESTABLISHED
  TCP    192.168.0.5:57881      a184-30-55-233:https   ESTABLISHED
  TCP    192.168.0.5:57882      a184-30-55-233:https   ESTABLISHED
  TCP    192.168.0.5:58965      52.230.3.194:https     ESTABLISHED
  TCP    192.168.0.5:58974      sc-in-f188:https       ESTABLISHED
  TCP    192.168.0.5:58999      server22909:http       ESTABLISHED
  TCP    192.168.0.5:59004      server22909:http       ESTABLISHED
  TCP    192.168.0.5:59039      74.125.24.125:5222     ESTABLISHED
